,Managers and directors in the creative industries
1255/01,Art gallery managers and directors
1255/02,Film and television production managers
1255/03,Publishing managers and directors
1255/04,Radio production managers
1255/05,Sport and talent agents
1255/06,Theatre production managers
1255/99,Managers and directors in the creative industries n.e.c.
,Betting shop and gambling establishment managers
1256/01,Betting shop managers
1256/02,Bingo hall managers
1256/03,Casino managers
1256/99,Betting shop and gambling establishment managers n.e.c.
,Hire services managers and proprietors
1257/00,Hire services managers and proprietors
,Directors in consultancy services
1258/01,Design consultancy directors
1258/02,Environmental consultancy directors
1258/03,Management consultancy directors
1258/04,Surveying consultancy directors
1258/99,Directors in consultancy services n.e.c.
,Managers and proprietors in other services n.e.c.
1259/01,Cleaning and hygiene services managers and proprietors
1259/02,Educational establishment managers and proprietors
1259/03,Funeral services and crematorium managers and proprietors
1259/04,Library managers
1259/05,Recruitment agency managers and proprietors
1259/06,Security services managers and proprietors
1259/99,Managers and proprietors in other services n.e.c.
,PROFESSIONAL OCCUPATIONS
,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS"
,Natural and social science professionals
,Chemical scientists
2111/01,Analytical chemists
2111/02,Industrial chemists
2111/03,Nuclear and radiochemists
2111/04,Research and development chemists
2111/99,Chemical scientists n.e.c.
,Biological scientists
2112/01,Agricultural scientists
2112/02,Biologists
2112/03,Botanical and horticultural scientists
2112/04,Microbiologists and bacteriologists
2112/05,Pathologists
2112/06,Pharmacologists
2112/07,Zoological scientists
2112/99,Biological scientists n.e.c.
,Biochemists and biomedical scientists
2113/01,Biochemists
2113/02,Biomedical scientists
2113/03,Biotechnologists
2113/04,Clinical scientists
2113/99,Biochemists and biomedical scientists n.e.c.
,Physical scientists
2114/01,Geologists
2114/02,Geophysicists
2114/03,Hydrogeologists and hydrologists
2114/04,Meteorologists
2114/99,Physical scientists n.e.c.
,Social and humanities scientists
2115/01,Anthropologists
2115/02,Archaeologists
2115/03,Behavioural scientists
2115/04,Epidemiologists
2115/05,Genealogists
2115/06,Geographic information systems (GIS) analysts
2115/07,Historians
2115/08,Political scientists
2115/09,Public health analysts
2115/99,Social and humanities scientists n.e.c.
,Natural and social science professionals n.e.c.
2119/01,Sports scientists
2119/99,Natural and social science professionals n.e.c.
,Engineering professionals
,Civil engineers
2121/01,Building and building services engineers
2121/02,Geotechnical engineers
2121/03,Mining engineers
2121/04,Structural engineers
2121/05,Transportation engineers
2121/06,Water engineers (professional)
2121/99,Civil engineers n.e.c.
,Mechanical engineers
2122/01,Automotive engineers (professional)
2122/02,Marine engineers and naval architects
2122/03,Mechanical design engineers
2122/99,Mechanical engineers n.e.c.
,Electrical engineers
2123/01,Laser engineers
2123/02,Power systems engineers
2123/03,Railway signalling engineers
2123/99,Electrical engineers n.e.c.
,Electronics engineers
2124/01,Broadcast engineers (professional)
2124/02,Telecommunications engineers (professional)
2124/99,Electronics engineers n.e.c.
,Production and process engineers
2125/01,Chemical engineers
2125/02,Control and instrumentation engineers
2125/03,Industrial and production engineers
2125/99,Production and process engineers n.e.c.
,Aerospace engineers
2126/01,Aeronautical engineers (professional)
2126/02,Aircraft engineers (professional)
2126/03,Avionics engineers
2126/99,Aerospace engineers n.e.c.
,Engineering project managers and project engineers
2127/00,Engineering project managers and project engineers
,Engineering professionals n.e.c.
2129/01,Acoustic engineers
2129/02,Biomedical engineers
2129/03,Brewers (qualified)
2129/04,Clinical Engineers
2129/05,Energy engineers
2129/06,Food technologists
2129/07,Gas engineers (professional)
2129/08,Heating and ventilating engineers (professional)
2129/09,Materials engineers
2129/10,Mechatronic engineers
2129/11,Nuclear engineers
2129/12,Patent engineers
2129/13,Robotics engineers
2129/14,Traffic engineers
2129/99,Engineering professionals n.e.c.
,Information technology professionals
,IT project managers
2131/00,IT project managers
,IT managers
2132/01,IT information managers
2132/02,IT product managers
2132/03,IT service delivery managers
2132/04,IT systems managers
2132/05,IT test managers
2132/06,Network managers
2132/07,Software development managers
2132/08,Technical support managers
2132/99,IT managers n.e.c.
,"IT business analysts, architects and systems designers"
2133/01,Computer analysts and scientists
2133/02,Data architects
2133/03,Data engineers
2133/04,IT systems architects
2133/05,IT business analysts
2133/06,IT solutions architects and designers
2133/99,"IT business analysts, architects and systems designers n.e.c."
,Programmers and software development professionals 
2134/01,Computer games designers
2134/02,Computer programmers
2134/03,Software developers
2134/99,Programmers and software development professionals n.e.c.
,Cyber security professionals
2135/01,Cyber operational defence specialists
2135/02,Cyber security management and governance specialists
2135/03,Forensic computer specialists
2135/04,Secure system development specialists
2135/99,Cyber security professionals n.e.c.
,IT quality and testing professionals
2136/00,IT quality and testing professionals
,IT network professionals
2137/00,IT network professionals
,Information technology professionals n.e.c.
2139/01,DevOps engineers
2139/02,IT consultants
2139/03,Webmasters and website managers
2139/99,Information technology professionals n.e.c.
,Web and multimedia design professionals
,Web design professionals
2141/01,Application designers
2141/02,UI and UX designers and researchers
2141/03,Web designers
2141/99,Web design professionals n.e.c.
,Graphic and multimedia designers
2142/01,Multimedia animators
2142/99,Graphic and multimedia designers n.e.c.
,Conservation and environment professionals
,Conservation professionals
2151/01,Conservationists
2151/02,Ecologists
2151/03,Heritage officers
2151/99,Conservation professionals n.e.c.
,Environment professionals
2152/01,Energy managers
2152/02,Environmental and geo-environmental engineers
2152/03,Environmental consultants
2152/04,Environmental scientists
2152/05,Sustainability officers
2152/99,Environmental professionals n.e.c.
,Research and development (R&D) and other research professionals
,Research and development (R&D) managers 
2161/01,Laboratory managers
2161/02,Research and development (R&D) design managers
2161/99,Research and development (R&D) managers n.e.c.
,"Other researchers, unspecified discipline"
2162/00,"Other researchers, unspecified discipline"
,HEALTH PROFESSIONALS
,Medical practitioners
,Generalist medical practitioners
2211/01,General practitioners
2211/02,Public health doctors
2211/99,Generalist medical practitioners n.e.c.
,Specialist medical practitioners
2212/01,Anaesthetists
2212/02,Cardiologists
2212/03,Dermatologists
2212/04,Gastroenterologists
2212/05,Gynaecologists and obstetricians
2212/06,Haematologists
2212/07,Homeopaths (medically qualified)
2212/08,Neurologists
2212/09,Oncologists
2212/10,Paediatricians
2212/11,Psychiatrists
2212/12,Radiologists (medically qualified)
2212/13,Rheumatologists
2212/14,Surgeons
2212/99,Specialist medical practitioners n.e.c.
,Therapy professionals
,Physiotherapists
2221/00,Physiotherapists
,Occupational therapists
2222/00,Occupational therapists
,Speech and language therapists
2223/00,Speech and language therapists
,Psychotherapists and cognitive behaviour therapists
2224/01,Cognitive behavioural therapists
2224/02,Psychotherapists
2224/99,Psychotherapists and cognitive behaviour therapists n.e.c.
,Clinical psychologists
2225/00,Clinical psychologists
,Other psychologists
2226/01,Counselling psychologists
2226/02,Educational psychologists
2226/03,Forensic psychologists
2226/04,Health psychologists
2226/05,Occupational psychologists
2226/06,Research psychologists
2226/07,Sports psychologists
2226/99,Other psychologists n.e.c.
,Therapy professionals n.e.c.
2229/01,Acupuncturists
2229/02,Art therapists
2229/03,Chiropractors and osteopaths
2229/04,Drama therapists
2229/05,Music therapists
2229/06,Nutritionists
2229/07,Orthoptists
2229/08,Play therapists
2229/09,Psychological wellbeing practitioners
2229/10,Sports therapists
2229/99,Therapy professionals n.e.c.
,Nursing professionals
,Midwifery nurses
2231/00,Midwifery nurses
,Registered community nurses
2232/01,Learning disability community nurses
2232/99,Registered community nurses n.e.c.
,Registered specialist nurses
2233/01,Diabetes specialist nurses
2233/02,Intensive care nurses
2233/03,Theatre nurses
2233/99,Registered specialist nurses n.e.c.
,Registered nurse practitioners
2234/01,Mental health nurse practitioners
2234/99,Registered nurse practitioners n.e.c.
,Registered mental health nurses
2235/00,Registered mental health nurses
,Registered children's nurses
2236/01,Neonatal nurses
2236/02,Paediatric nurses
2236/03,School nurses
,Other registered nursing professionals 
2237/00,Other registered nursing professionals
,Veterinarians
,Veterinarians
2240/00,Veterinarians
,Other health professionals
,Pharmacists
2251/00,Pharmacists
,Optometrists
2252/00,Optometrists
,Dental practitioners
2253/01,Dentists and dental surgeons
2253/02,Endodontists
2253/03,Orthodontists
2253/04,Periodontists
2253/99,Dental practitioners n.e.c.
,Medical radiographers
2254/01,Diagnostic radiographers and sonographers
2254/02,Therapeutic radiographers
2254/03,Vascular scientists
2254/99,Medical radiographers n.e.c.
,Paramedics
2255/00,Paramedics
,Podiatrists
2256/00,Podiatrists
,Other health professionals n.e.c.
2259/01,Audiologists
2259/02,Cardiac physiologists
2259/03,Dietitians
2259/04,Health promotion officers
2259/05,Medical physicists and nuclear medicine scientists
2259/06,Mental health workers
2259/07,Occupational health advisers
2259/08,Operating department practitioners
2259/09,Orthotists and prosthetists
2259/10,Respiratory physiologists
2259/11,Sexual health advisers
2259/99,Other health professionals n.e.c.
,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS
,Teaching professionals
,Higher education teaching professionals
2311/00,Higher education teaching professionals
,Further education teaching professionals
2312/00,Further education teaching professionals
,Secondary education teaching professionals
2313/01,Teachers of art
2313/02,Teachers of biology
2313/03,Teachers of chemistry
2313/04,Teachers of design technology
2313/05,Teachers of drama
2313/06,Teachers of economics
2313/07,Teachers of English
2313/08,Teachers of geography
2313/09,Teachers of history
2313/10,Teachers of ICT and computer science
2313/11,Teachers of mathematics
2313/12,Teachers of modern foreign languages
2313/13,Teachers of music
2313/14,Teachers of physical education
2313/15,Teachers of physics
2313/16,Teachers of psychology
2313/17,Teachers of religious education
2313/18,Teachers of science
2313/19,Teachers of sociology
2313/20,Teachers of Welsh
2313/99,Secondary education teaching professionals n.e.c.
,Primary education teaching professionals
2314/00,Primary education teaching professionals
,Nursery education teaching professionals
2315/00,Nursery education teaching professionals
,Special and additional needs education teaching professionals
2316/01,Special and additional educational needs teachers and coordinators
2316/02,Teachers of the deaf
2316/03,Teachers of the visually impaired
2316/99,Special and additional needs education teaching professionals n.e.c.
,Teachers of English as a foreign language
2317/00,Teachers of English as a Foreign Language
,Teaching professionals n.e.c.
2319/01,Adult education tutors
2319/02,Dance and drama school principals and owners
2319/03,Private music and singing teachers
2319/04,Private tutors
2319/99,Teaching professionals n.e.c.
,Other educational professionals
,Head teachers and principals
2321/01,Heads of further education establishments
2321/02,Heads of higher education establishments
2321/03,Heads of nursery schools
2321/04,Heads of primary schools
2321/05,Heads of secondary schools and sixth form colleges
2321/06,Heads of special needs education schools
2321/99,Head teachers and principals n.e.c.
,Education managers 
2322/00,Education managers
,Education advisers and school inspectors
2323/01,Educational advisers
2323/02,School inspectors
,Early education and childcare services managers
2324/00,Early education and childcare services managers
,Other educational professionals n.e.c
2329/01,Bursars
2329/02,Educational administrators
2329/03,Examiners and markers
2329/99,Other educational professionals n.e.c.
,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS"
,Legal professionals
,Barristers and judges
2411/01,Barristers and advocates
2411/02,Judges
2411/99,Barristers and judges n.e.c.
,Solicitors and lawyers
2412/01,Commercial solicitors and lawyers
2412/02,Criminal solicitors and lawyers
2412/03,Family solicitors and lawyers
2412/04,Property solicitors and lawyers
2412/99,Solicitors and lawyers n.e.c.
,Legal professionals n.e.c.
2419/01,Conveyancers
2419/02,Litigation executives
2419/03,Paralegals
2419/04,Patent and trademark attorneys
2419/99,Legal professionals n.e.c.
,Finance professionals
,Chartered and certified accountants
2421/01,Auditors (qualified accountant)
2421/02,Financial accountants (qualified)
2421/03,Forensic accountants
2421/04,Fund accountants
2421/05,Insolvency practitoners
2421/99,Chartered and certified accountants n.e.c.
,Finance and investment analysts and advisers
2422/01,Credit analysts
2422/02,Financial advisers and planners
2422/03,Financial analysts
2422/04,Mortgage advisers
2422/99,Finance and investment analysts and advisers n.e.c.
,Taxation experts
2423/00,Taxation experts
,"Business, research and administrative professionals"
,Management consultants and business analysts
2431/01,Business analysts and consultants
2431/02,Management advisers and consultants
2431/03,Risk analysts
2431/99,Management consultants and business analysts n.e.c.
,Marketing and commercial managers
2432/01,Commercial managers
2432/02,Marketing managers
2432/99,Marketing and commercial managers n.e.c.
,"Actuaries, economists and statisticians"
2433/01,Actuaries and actuarial analysts
2433/02,Economists
2433/03,Mathematicians
2433/04,Statistical data scientists
2433/05,Statisticians
2433/99,"Actuaries, economists and statisticians n.e.c."
,Business and related research professionals
2434/01,Intelligence analysts
2434/02,Researchers in media and entertainment
2434/99,Business and related research professionals n.e.c.
,Professional/Chartered company secretaries 
2435/00,Professional/chartered company secretaries
,"Business, research and administrative professionals n.e.c."
2439/01,Policy officers
2439/99,"Business, research and administrative professionals n.e.c."
,Business and financial project management professionals
,Business and financial project management professionals
2440/01,Business change managers
2440/02,Clinical trials coordinators
2440/03,Risk managers
2440/99,Business and financial project management professionals n.e.c.
,"Architects, chartered architectural technologists, planning officers, surveyors and construction professionals"
,Architects
2451/01,Architects
2451/02,Landscape architects and designers
,"Chartered architectural technologists, planning officers and consultants"
2452/01,Chartered architectural technologists
2452/02,Town planning officers
2452/03,Urban designers
2452/99,"Chartered architectural technologists, planning officers and consultants n.e.c."
,Quantity surveyors
2453/00,Quantity surveyors
,Chartered surveyors
2454/01,Building control surveyors
2454/02,Hydrographic surveyors
2454/03,Land surveyors
2454/04,Property surveyors
2454/99,Chartered surveyors n.e.c.
,Construction project managers and related professionals
2455/01,Construction project and contract managers
2455/02,Transport planners
2455/99,Construction project managers and related professionals n.e.c.
,Welfare professionals
,Social workers
2461/01,Adult social workers
2461/02,"Children, family and school social workers"
2461/03,Criminal justice social workers
2461/04,Mental health and healthcare social workers
2461/99,Social workers n.e.c.
,Probation officers
2462/00,Probation officers
,Clergy
2463/00,Clergy
,Youth work professionals
2464/00,Youth work professionals
,Welfare professionals n.e.c.
2469/01,Adoption officers
2469/02,Children and family services professionals
2469/03,Mediators and restorative practice professionals
2469/99,Welfare professionals n.e.c.
,Librarians and related professionals
,Librarians
2471/00,Librarians
,"Archivists, conservators and curators"
2472/01,Archivists
2472/02,Collection managers and curators
2472/03,Conservators
2472/04,Museum education officers
2472/99,"Archivists, conservators and curators n.e.c."
,Quality and regulatory professionals
,Quality control and planning engineers
2481/01,Garment technologists
2481/02,Planning engineers
2481/03,Quality control engineers
2481/99,Quality control and planning engineers n.e.c.
,Quality assurance and regulatory professionals
2482/01,Compliance and regulatory professionals
2482/02,Quality assurance professionals
,Environmental health professionals
2483/00,Environmental health professionals
,Media professionals
,"Newspaper, periodical and broadcast editors"
2491/00,"Newspaper, periodical and broadcast editors"
,Newspaper and periodical broadcast journalists and reporters
2492/01,Broadcast journalists
2492/02,Newspaper journalists and reporters
2492/99,Newspaper and periodical broadcast journalists and reporters n.e.c.
,Public relations professionals
2493/01,Press officers
2493/02,Public relations officers
2493/03,Social media managers
2493/99,Public relations professionals n.e.c.
,Advertising accounts managers and creative directors
2494/01,Advertising account managers
2494/02,Creative directors
2494/03,Fundraising managers
,ASSOCIATE PROFESSIONAL OCCUPATIONS
,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS"
,"Science, Engineering and Production Technicians"
,Laboratory technicians
3111/01,Biological laboratory technicians
3111/02,Chemical laboratory technicians
3111/03,Health physics monitors
3111/04,Laboratory food technicians
3111/05,Medical laboratory technicians
3111/99,Laboratory technicians n.e.c.
,Electrical and electronics technicians 
3112/01,Avionics technicians
3112/99,Electrical and electronics technicians n.e.c.
,Engineering technicians 
3113/01,Aerospace technicians
3113/02,Wind turbine technicians
3113/99,Engineering technicians n.e.c.
,Building and civil engineering technicians 
3114/01,Building technicians
3114/02,Civil engineering technicians
3114/03,Surveying technicians
3114/99,Building and civil engineering technicians n.e.c.
,Quality assurance technicians 
3115/00,Quality assurance technicians
,"Planning, process and production technicians"
3116/00,"Planning, process and production technicians"
,"Science, engineering and production technicians n.e.c."
3119/01,School technicians
3119/02,Textile consultants
3119/99,"Science, engineering and production technicians n.e.c."
,"CAD, drawing and architectural technicians"
,"CAD, drawing and architectural technicians"
3120/01,Architectural technicians
3120/02,BIM and CAD technicians
3120/03,Cartographers
3120/99,"CAD, drawing and architectural technicians n.e.c."
,Information Technology Technicians
,IT operations technicians
3131/01,Games testers
3131/02,Network and systems administrators
3131/03,Quality assurance testers
3131/04,Software technicians
3131/99,IT operations technicians n.e.c.
,IT user support technicians
3132/00,IT user support technicians
,Database administrators and web content technicians
3133/01,Database administrators
3133/02,Web content technicians
3133/99,Database administrators and web content technicians n.e.c.
,HEALTH AND SOCIAL CARE ASSOCIATE PROFESSIONALS
,Health Associate Professionals
,Dispensing opticians
3211/00,Dispensing opticians
,Pharmaceutical technicians
3212/00,Pharmaceutical technicians
,Medical and dental technicians
3213/01,Cardiac technicians
3213/02,Dental hygienists
3213/03,Dental technicians
3213/04,Hearing aid dispensers
3213/05,Hearing screeners
3213/06,Nursing associates
3213/07,Orthotic and prosthetic technicians
3213/99,Medical and dental technicians n.e.c.
,Complementary health associate professionals
3214/01,Alexander technique teachers
3214/02,Aromatherapists
3214/03,Homeopaths (excludes medically qualified)
3214/04,Hospital play specialists
3214/05,Hypnotherapists
3214/06,Massage therapists
3214/07,Reflexologists
3214/08,Reiki healers
3214/99,Complementary health associate professionals n.e.c.
,Health associate professionals n.e.c.
3219/01,Antenatal teachers
3219/02,Dietetic assistants
3219/03,Equine dentists
3219/04,Foot health practitioners (excludes podiatrists)
3219/05,Health trainers
3219/06,Home economists
3219/99,Health associate professionals n.e.c.
,Welfare and Housing Associate Professionals
,Youth and community workers
3221/01,Community workers
3221/02,Family support workers
3221/03,Youth workers (excludes youth work professionals)
3221/99,Youth and community workers n.e.c.
,Child and early years officers
3222/01,Child protection officers
3222/02,Learning and behaviour mentors
3222/03,Welfare and attendance officers
3222/99,Child and early years officers n.e.c.
,Housing officers
3223/00,Housing officers
,Counsellors
3224/01,Bereavement counsellors
3224/02,Debt advisers
3224/03,Life coaches
3224/04,Relationship counsellors
3224/05,Substance misuse workers
3224/99,Counsellors n.e.c.
,Welfare and housing associate professionals n.e.c.
3229/01,Advocates (excludes solicitor advocates)
3229/02,Celebrants
3229/03,Charity workers
3229/04,Day care officers
3229/05,Health advisers
3229/06,Homelessness officers and support workers
3229/07,Mental health project workers
3229/08,Probation service workers
3229/09,Student support workers
3229/10,Victim support workers
3229/99,Welfare and housing associate professionals n.e.c.
,Teaching and Childcare Associate Professionals
,Higher level teaching assistants
3231/00,Higher level teaching assistants
,Early education and childcare practitioners
3232/00,Early education and childcare practitioners
,Veterinary nurses
,Veterinary nurses
3240/00,Veterinary nurses
,PROTECTIVE SERVICE OCCUPATIONS
,Protective Service Occupations
,Non-commissioned officers and other ranks
3311/01,Non-commissioned Army officers and others ranks
3311/02,Non-commissioned Royal Air Force officers and other ranks
3311/03,Non-commissioned Royal Navy officers and other ranks
3311/04,Royal Marines Commandos
3311/99,Non-commissioned officers and other ranks n.e.c.
,Police officers (sergeant and below)
3312/01,Police constable
3312/02,Police sergeant
3312/99,Police officers (sergeant and below) n.e.c.
,Fire service officers (watch manager and below)
3313/01,Firefighters
3313/02,Fire service crew managers
3313/03,Watch managers
3313/99,Fire service officers (watch manager and below) n.e.c.
,Prison service officers (below principal officer)
3314/01,Operational support grades
3314/02,Prison officers
3314/99,Prison service officers (below principal officer) n.e.c.
,Protective service associate professionals n.e.c.
3319/01,Coastguard
3319/02,Customs and border control officers
3319/03,Fraud investigators (excludes benefit fraud)
3319/04,Immigration officers
3319/05,Private investigators
3319/06,Security consultants and managers (excludes cyber security)
3319/99,Protective service associate professionals n.e.c.
,"CULTURE, MEDIA AND SPORTS OCCUPATIONS"
,"Artistic, Literary and Media Occupations"
,Artists
3411/01,Art technicians (excludes education)
3411/02,Drawing and painting artists
3411/03,Hand drawn animators
3411/04,Illustrators (excludes medical and scientific)
3411/05,Medical and scientific illustrators
3411/06,Picture restorers
3411/07,Sculptors
3411/08,Tattoo and henna artists
3411/99,Artists n.e.c.
,"Authors, writers and translators"
3412/01,Authors
3412/02,Bloggers
3412/03,Copywriters
3412/04,Literary editors
3412/05,Poets
3412/06,Script writers
3412/07,Technical writers (excludes computing)
3412/08,Translators and interpreters
3412/99,"Authors, writers and translators n.e.c."
,"Actors, entertainers and presenters"
3413/01,Actors
3413/02,"Broadcasters, podcasters and presenters"
3413/03,Children's entertainers
3413/04,Comedians
3413/05,Disc jockeys
3413/06,Magicians
3413/07,Models
3413/08,Singers
3413/09,Social media influencers
3413/99,"Actors, entertainers and presenters n.e.c."
,Dancers and choreographers
3414/01,Choreographers
3414/02,Dance teachers (excludes educational establishments)
3414/03,Dancers
,Musicians
3415/01,Composers and musical arrangers
3415/02,Music conductors
3415/03,Instrumentalists
3415/99,Musicians n.e.c.
,"Arts officers, producers and directors"
3416/01,Art consultants
3416/02,Broadcasting and entertainment directors
3416/03,Broadcasting and entertainment editors
3416/04,Broadcasting and entertainment producers
3416/05,Studio and stage managers
3416/99,"Arts officers, producers and directors n.e.c."
,"Photographers, audio-visual and broadcasting equipment operators"
3417/01,Camera operators and videographers
3417/02,Lighting designers
3417/03,Photographers
3417/04,Sound designers
3417/05,Sound engineers
3417/06,Theatre technicians (excludes hospitals)
3417/99,"Photographers, audio-visual and broadcasting equipment operators n.e.c."
,Design Occupations 
,Interior designers
3421/00,Interior designers
,"Clothing, fashion and accessories designers"
3422/01,Clothing and fashion consultants
3422/02,Clothing and fashion designers
3422/03,Footwear designers
3422/04,Jewellery designers
3422/05,Textile designers
3422/99,"Clothing, fashion and accessories designers n.e.c."
,Design occupations n.e.c.
3429/01,Industrial and product designers
3429/02,Packaging designers
3429/03,Performance make-up artists
3429/04,Set designers
3429/05,Visual merchandising managers and designers
3429/99,Design occupations n.e.c.
,Sports and Fitness Occupations
,Sports players
3431/00,Sports players
,"Sports coaches, instructors and officials"
3432/01,Basketball coaches
3432/02,Cricket coaches
3432/03,Football coaches
3432/04,Forest school practitioners
3432/05,Golf coaches
3432/06,Gymnastics coaches
3432/07,Horse riding instructors
3432/08,Martial arts instructors
3432/09,Outdoor pursuits instructors
3432/10,"Referees, umpires and other sports officials"
3432/11,Rugby coaches
3432/12,Sailing instructors
3432/13,Ski instructors
3432/14,Sports development officers
3432/15,Swimming coaches
3432/16,Tennis coaches
3432/99,"Sports coaches, instructors and officials n.e.c."
,Fitness and wellbeing instructors
3433/01,Group fitness instructors and personal trainers
3433/02,Pilates teachers
3433/03,Yoga teachers
